2026-08-26T13:23:29Z
| rngd | npu0   | 2026.3.0, 2d3f72a | 53.31°C | 162.00 W | 0000:03:00.0 |
| rngd | npu1   | 2026.3.0, 2d3f72a | 51.61°C | 169.00 W | 0000:04:00.0 |
| rngd | npu2   | 2026.3.0, 2d3f72a | 46.21°C | 158.00 W | 0000:44:00.0 |
| rngd | npu3   | 2026.3.0, 2d3f72a | 44.30°C | 162.00 W | 0000:45:00.0 |
| rngd | npu4   | 2026.3.0, 2d3f72a | 36.34°C |  39.00 W | 0000:83:00.0 |
| rngd | npu5   | 2026.3.0, 2d3f72a | 36.36°C |  39.00 W | 0000:84:00.0 |
| rngd | npu6   | 2026.3.0, 2d3f72a | 35.16°C |  36.00 W | 0000:c3:00.0 |
| rngd | npu7   | 2026.3.0, 2d3f72a | 37.15°C |  41.00 W | 0000:c4:00.0 |
2026-08-26T13:24:26Z
| rngd | npu0   | 2026.3.0, 2d3f72a | 54.30°C | 164.00 W | 0000:03:00.0 |
| rngd | npu1   | 2026.3.0, 2d3f72a | 52.86°C | 165.00 W | 0000:04:00.0 |
| rngd | npu2   | 2026.3.0, 2d3f72a | 49.98°C | 156.00 W | 0000:44:00.0 |
| rngd | npu3   | 2026.3.0, 2d3f72a | 48.98°C | 166.00 W | 0000:45:00.0 |
| rngd | npu4   | 2026.3.0, 2d3f72a | 35.97°C |  39.00 W | 0000:83:00.0 |
| rngd | npu5   | 2026.3.0, 2d3f72a | 36.55°C |  39.00 W | 0000:84:00.0 |
| rngd | npu6   | 2026.3.0, 2d3f72a | 35.34°C |  36.00 W | 0000:c3:00.0 |
| rngd | npu7   | 2026.3.0, 2d3f72a | 37.33°C |  41.00 W | 0000:c4:00.0 |
2026-08-26T13:25:23Z
| rngd | npu0   | 2026.3.0, 2d3f72a | 54.30°C | 167.00 W | 0000:03:00.0 |
| rngd | npu1   | 2026.3.0, 2d3f72a | 53.05°C | 162.00 W | 0000:04:00.0 |
| rngd | npu2   | 2026.3.0, 2d3f72a | 53.00°C | 155.00 W | 0000:44:00.0 |
| rngd | npu3   | 2026.3.0, 2d3f72a | 51.59°C | 161.00 W | 0000:45:00.0 |
| rngd | npu4   | 2026.3.0, 2d3f72a | 36.34°C |  39.00 W | 0000:83:00.0 |
| rngd | npu5   | 2026.3.0, 2d3f72a | 36.36°C |  39.00 W | 0000:84:00.0 |
| rngd | npu6   | 2026.3.0, 2d3f72a | 35.53°C |  36.00 W | 0000:c3:00.0 |
| rngd | npu7   | 2026.3.0, 2d3f72a | 37.71°C |  41.00 W | 0000:c4:00.0 |
